ticker,company_name,doc_type,period,published_at
AAPL,Apple Inc.,10-K,FY 2024,2024-11-01 00:00:00.000000
ABNB,"Airbnb, Inc.",10-K,FY 2023,2024-02-16 00:00:00.000000
ADBE,ADOBE INC.,10-K,FY 2023,2024-01-17 00:00:00.000000
ADI,ANALOG DEVICES INC,10-K,FY 2024,2024-11-26 00:00:00.000000
ADP,AUTOMATIC DATA PROCESSING INC,10-K,FY 2024,2024-08-07 00:00:00.000000
ADSK,"Autodesk, Inc.",10-K,FY 2024,2024-06-10 00:00:00.000000
AEP,AMERICAN ELECTRIC POWER CO INC,10-K,FY 2023,2024-02-26 00:00:00.000000
AMAT,APPLIED MATERIALS INC /DE,10-K,FY 2024,2024-12-13 00:00:00.000000
AMD,ADVANCED MICRO DEVICES INC,10-K,FY 2023,2024-01-31 00:00:00.000000
AMGN,AMGEN INC,10-K,FY 2023,2024-02-14 00:00:00.000000
AMZN,AMAZON COM INC,10-K,FY 2023,2024-02-02 00:00:00.000000
ANSS,ANSYS INC,10-K,FY 2023,2024-02-21 00:00:00.000000
AVGO,Broadcom Inc.,10-K,FY 2024,2024-12-20 00:00:00.000000
BIIB,BIOGEN INC.,10-K,FY 2023,2024-02-14 00:00:00.000000
BKNG,Booking Holdings Inc.,10-K,FY 2023,2024-02-22 00:00:00.000000
BKR,Baker Hughes Co,10-K,FY 2023,2024-02-05 00:00:00.000000
CDNS,CADENCE DESIGN SYSTEMS INC,10-K,FY 2023,2024-02-14 00:00:00.000000
CDW,CDW Corp,10-K,FY 2023,2024-02-26 00:00:00.000000
CEG,Constellation Energy Corp,10-K,FY 2023,2024-02-27 00:00:00.000000
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",10-K,FY 2023,2024-02-02 00:00:00.000000
CMCSA,COMCAST CORP,10-K,FY 2023,2024-01-31 00:00:00.000000
COST,COSTCO WHOLESALE CORP /NEW,10-K,FY 2024,2024-10-09 00:00:00.000000
CPRT,COPART INC,10-K,FY 2024,2024-09-30 00:00:00.000000
CRWD,"CrowdStrike Holdings, Inc.",10-K,FY 2024,2024-03-07 00:00:00.000000
CSCO,"CISCO SYSTEMS, INC.",10-K,FY 2024,2024-09-05 00:00:00.000000
CSGP,"COSTAR GROUP, INC.",10-K,FY 2023,2024-02-22 00:00:00.000000
CSX,CSX CORP,10-K,FY 2023,2024-02-14 00:00:00.000000
CTAS,CINTAS CORP,10-K,FY 2024,2024-07-25 00:00:00.000000
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,10-K,FY 2023,2024-02-14 00:00:00.000000
DASH,"DoorDash, Inc.",10-K,FY 2023,2024-02-20 00:00:00.000000
DDOG,"Datadog, Inc.",10-K,FY 2023,2024-02-23 00:00:00.000000
DLTR,"DOLLAR TREE, INC.",10-K,FY 2024,2024-03-20 00:00:00.000000
DXCM,DEXCOM INC,10-K,FY 2023,2024-02-08 00:00:00.000000
EA,ELECTRONIC ARTS INC.,10-K,FY 2024,2024-05-22 00:00:00.000000
EXC,EXELON CORP,10-K,FY 2023,2024-02-21 00:00:00.000000
FANG,"Diamondback Energy, Inc.",10-K,FY 2023,2024-02-22 00:00:00.000000
FAST,FASTENAL CO,10-K,FY 2023,2024-02-06 00:00:00.000000
FTNT,"Fortinet, Inc.",10-K,FY 2023,2024-02-26 00:00:00.000000
GEHC,GE HealthCare Technologies Inc.,10-K,FY 2023,2024-02-06 00:00:00.000000
GILD,"GILEAD SCIENCES, INC.",10-K,FY 2023,2024-02-23 00:00:00.000000
GOOGL,Alphabet Inc.,10-K,FY 2023,2024-01-31 00:00:00.000000
HON,HONEYWELL INTERNATIONAL INC,10-K,FY 2023,2024-02-16 00:00:00.000000
IDXX,IDEXX LABORATORIES INC /DE,10-K,FY 2023,2024-02-22 00:00:00.000000
ILMN,"ILLUMINA, INC.",10-K,FY 2023,2024-02-16 00:00:00.000000
INTC,INTEL CORP,10-K,FY 2023,2024-01-26 00:00:00.000000
INTU,INTUIT INC.,10-K,FY 2024,2024-09-04 00:00:00.000000
ISRG,INTUITIVE SURGICAL INC,10-K,FY 2023,2024-01-31 00:00:00.000000
KDP,Keurig Dr Pepper Inc.,10-K,FY 2023,2024-02-22 00:00:00.000000
KHC,Kraft Heinz Co,10-K,FY 2023,2024-02-15 00:00:00.000000
KLAC,KLA CORP,10-K,FY 2024,2024-08-05 00:00:00.000000
LIN,LINDE PLC,10-K,FY 2023,2024-02-28 00:00:00.000000
LRCX,LAM RESEARCH CORP,10-K,FY 2024,2024-08-29 00:00:00.000000
LULU,lululemon athletica inc.,10-K,FY 2024,2024-03-21 00:00:00.000000
MAR,MARRIOTT INTERNATIONAL INC /MD/,10-K,FY 2023,2024-02-13 00:00:00.000000
MCHP,MICROCHIP TECHNOLOGY INC,10-K,FY 2024,2024-05-23 00:00:00.000000
MDB,"MongoDB, Inc.",10-K,FY 2024,2024-03-15 00:00:00.000000
MDLZ,"Mondelez International, Inc.",10-K,FY 2023,2024-02-02 00:00:00.000000
MELI,MERCADOLIBRE INC,10-K,FY 2023,2024-02-23 00:00:00.000000
META,"Meta Platforms, Inc.",10-K,FY 2023,2024-02-02 00:00:00.000000
MNST,Monster Beverage Corp,10-K,FY 2023,2024-02-29 00:00:00.000000
MRNA,"Moderna, Inc.",10-K,FY 2023,2024-02-23 00:00:00.000000
MRVL,"Marvell Technology, Inc.",10-K,FY 2024,2024-03-13 00:00:00.000000
MSFT,MICROSOFT CORP,10-K,FY 2024,2024-07-30 00:00:00.000000
MU,MICRON TECHNOLOGY INC,10-K,FY 2024,2024-10-04 00:00:00.000000
NFLX,NETFLIX INC,10-K,FY 2023,2024-01-26 00:00:00.000000
NVDA,NVIDIA CORP,10-K,FY 2024,2024-02-21 00:00:00.000000
NXPI,NXP Semiconductors N.V.,10-K,FY 2023,2024-02-22 00:00:00.000000
ODFL,"OLD DOMINION FREIGHT LINE, INC.",10-K,FY 2023,2024-02-26 00:00:00.000000
ON,ON SEMICONDUCTOR CORP,10-K,FY 2023,2024-02-05 00:00:00.000000
ORLY,O REILLY AUTOMOTIVE INC,10-K,FY 2023,2024-02-28 00:00:00.000000
PANW,Palo Alto Networks Inc,10-K,FY 2024,2024-09-06 00:00:00.000000
PAYX,PAYCHEX INC,10-K,FY 2024,2024-07-11 00:00:00.000000
PCAR,PACCAR INC,10-K,FY 2023,2024-02-21 00:00:00.000000
